date,portfolio_value,spy_value,cash,n_positions,regime
2009-08-10,1351610.0072442074,757079.1402573567,0.0,12,normal
2009-08-11,1330612.6252571628,747633.1249081207,0.0,12,normal
2009-08-12,1360113.7283282978,755654.4294214455,0.0,12,normal
2009-08-13,1373271.6421923453,761426.8916807777,1.3817869688151111e-76,14,normal
2009-08-14,1350358.3488531485,755579.5783900144,6.908934844075556e-77,14,normal
2009-08-17,1302215.7529676103,736987.9529113085,6.908934844075556e-77,14,normal
2009-08-18,1315045.0304423575,742835.1891948378,6.908934844075556e-77,14,normal
2009-08-19,1321062.0531681252,749357.2398697562,1.105429575052089e-75,15,normal
2009-08-20,1331261.3903781965,757079.1402573567,1.105429575052089e-75,15,normal
2009-08-21,1343565.3938194683,771922.2076002598,1.105429575052089e-75,15,normal
2009-08-24,1350212.2163734252,771847.0485398928,1.105429575052089e-75,15,normal
2009-08-25,1355625.7615828132,773346.3793855332,1.105429575052089e-75,15,normal
2009-08-26,1358752.5611929777,773421.3844314321,1.105429575052089e-75,15,normal
2009-08-27,1367695.8550707262,775145.8074220035,0.0,15,normal
2009-08-28,1366168.5540151508,774995.6433157375,0.0,15,normal
2009-08-31,1349372.2160208325,768098.7214257921,0.0,15,normal
2009-09-01,1316956.9254730793,751156.5138917585,0.0,15,normal
2009-09-02,1312893.9303362106,748308.0163067438,0.0,15,normal
2009-09-03,1322025.9115722277,754530.0467980662,0.0,15,normal
2009-09-04,1340358.733676703,765100.0597345114,0.0,15,normal
2009-09-08,1366185.9559979157,771697.0384480947,0.0,15,normal
2009-09-09,1381382.674990362,777619.433791991,0.0,15,normal
2009-09-10,1398620.0718296047,785565.8872738846,0.0,15,normal
2009-09-11,1414448.1633920625,785415.8771820866,0.0,15,normal
2009-09-14,1417277.7509874497,789238.9783203845,0.0,15,normal
2009-09-15,1438082.0767013384,792537.8142097291,-1.8189894035458565e-12,15,bull
2009-09-16,1474984.729331599,804532.0759386816,-1.8189894035458565e-12,15,bull
2009-09-17,1483737.3010743258,803332.6112621693,-1.8189894035458565e-12,15,bull
2009-09-18,1486774.356936084,803844.7863753873,-1.8189894035458565e-12,15,bull
