date,type,aum,rate,fee,hwm,nav_pre_fee,hwm_pre,profit_above_hwm,hwm_post
2020-01-02,management,6129058.0517198825,0.0016666666666666668,10215.096752866471,5667857.203369201,,,,
2020-01-02,performance,,0.25,112746.43789945357,,6118842.954967015,5667857.203369201,450985.75159781426,6006096.517067562
2020-02-03,management,5689475.219133923,0.0016666666666666668,9482.458698556538,6006096.517067562,,,,
2020-03-02,management,6476104.2463612035,0.0016666666666666668,10793.507077268674,6006096.517067562,,,,
2020-04-01,management,5602180.462239924,0.0016666666666666668,9336.96743706654,6006096.517067562,,,,
2020-04-01,performance,,0.25,0.0,,5592843.494802857,6006096.517067562,0.0,6006096.517067562
2020-05-01,management,6205831.129706313,0.0016666666666666668,10343.051882843856,6006096.517067562,,,,
2020-06-01,management,6825588.751838744,0.0016666666666666668,11375.981253064574,6006096.517067562,,,,
2020-07-01,management,6803383.145433287,0.0016666666666666668,11338.971909055479,6006096.517067562,,,,
2020-07-01,performance,,0.25,196486.91411416745,,6792044.173524232,6006096.517067562,785947.6564566698,6595557.259410065
2020-08-03,management,6920589.29181659,0.0016666666666666668,11534.315486360985,6595557.259410065,,,,
2020-09-01,management,7313835.073852136,0.0016666666666666668,12189.725123086893,6595557.259410065,,,,
2020-10-01,management,7505317.611506677,0.0016666666666666668,12508.862685844462,6595557.259410065,,,,
2020-10-01,performance,,0.25,224312.87235269207,,7492808.748820833,6595557.259410065,897251.4894107683,7268495.876468141
2020-11-02,management,6760080.184325982,0.0016666666666666668,11266.800307209971,7268495.876468141,,,,
2020-12-01,management,7306882.879843639,0.0016666666666666668,12178.138133072733,7268495.876468141,,,,
2021-01-04,management,7218789.297103849,0.0016666666666666668,12031.315495173083,7268495.876468141,,,,
2021-01-04,performance,,0.25,0.0,,7206757.981608677,7268495.876468141,0.0,7268495.876468141
2021-02-01,management,7223101.233393049,0.0016666666666666668,12038.502055655083,7268495.876468141,,,,
2021-03-01,management,7274152.297375655,0.0016666666666666668,12123.587162292759,7268495.876468141,,,,
2021-04-01,management,7588921.586614102,0.0016666666666666668,12648.202644356837,7268495.876468141,,,,
2021-04-01,performance,,0.25,76944.37687540147,,7576273.3839697465,7268495.876468141,307777.5075016059,7499329.007094344
2021-05-03,management,8437288.426203676,0.0016666666666666668,14062.147377006127,7499329.007094344,,,,
2021-06-01,management,8371920.472055818,0.0016666666666666668,13953.200786759697,7499329.007094344,,,,
2021-07-01,management,8968402.736134876,0.0016666666666666668,14947.337893558128,7499329.007094344,,,,
2021-07-01,performance,,0.25,363531.59778674366,,8953455.398241319,7499329.007094344,1454126.3911469746,8589923.800454576
2021-08-02,management,9398402.575868644,0.0016666666666666668,15664.004293114407,8589923.800454576,,,,
2021-09-01,management,9327361.020558741,0.0016666666666666668,15545.601700931236,8589923.800454576,,,,
2021-10-01,management,8765773.404158505,0.0016666666666666668,14609.622340264175,8589923.800454576,,,,
2021-10-01,performance,,0.25,40309.99534091586,,8751163.781818239,8589923.800454576,161239.98136366345,8710853.786477324
2021-11-01,management,8988695.168884188,0.0016666666666666668,14981.15861480698,8710853.786477324,,,,
2021-12-01,management,9114202.28239376,0.0016666666666666668,15190.337137322933,8710853.786477324,,,,
2022-01-03,management,9897035.140104523,0.0016666666666666668,16495.05856684087,8710853.786477324,,,,
2022-01-03,performance,,0.25,292421.57376508974,,9880540.081537683,8710853.786477324,1169686.295060359,9588118.507772593
2022-02-01,management,8022726.5063313795,0.0016666666666666668,13371.210843885634,9588118.507772593,,,,
2022-03-01,management,7546816.5323089305,0.0016666666666666668,12578.027553848218,9588118.507772593,,,,
2022-04-01,management,7199889.073348728,0.0016666666666666668,11999.815122247881,9588118.507772593,,,,
2022-04-01,performance,,0.25,0.0,,7187889.258226481,9588118.507772593,0.0,9588118.507772593
2022-05-02,management,6187167.027638009,0.0016666666666666668,10311.945046063349,9588118.507772593,,,,
2022-06-01,management,6276854.338334832,0.0016666666666666668,10461.42389722472,9588118.507772593,,,,
2022-07-01,management,6512531.609614223,0.0016666666666666668,10854.21934935704,9588118.507772593,,,,
2022-07-01,performance,,0.25,0.0,,6501677.390264866,9588118.507772593,0.0,9588118.507772593
2022-08-01,management,6665909.864979635,0.0016666666666666668,11109.849774966058,9588118.507772593,,,,
2022-09-01,management,6236956.640052257,0.0016666666666666668,10394.927733420429,9588118.507772593,,,,
2022-10-03,management,5428469.870919127,0.0016666666666666668,9047.449784865212,9588118.507772593,,,,
2022-10-03,performance,,0.25,0.0,,5419422.421134261,9588118.507772593,0.0,9588118.507772593
2022-11-01,management,5859784.504462235,0.0016666666666666668,9766.307507437059,9588118.507772593,,,,
2022-12-01,management,6840330.766140875,0.0016666666666666668,11400.55127690146,9588118.507772593,,,,
2023-01-03,management,5960823.526457087,0.0016666666666666668,9934.70587742848,9588118.507772593,,,,
2023-01-03,performance,,0.25,0.0,,5950888.820579658,9588118.507772593,0.0,9588118.507772593
2023-02-01,management,6688596.110177647,0.0016666666666666668,11147.660183629412,9588118.507772593,,,,
2023-03-01,management,5926019.95512809,0.0016666666666666668,9876.699925213485,9588118.507772593,,,,
2023-04-03,management,6122882.6145931315,0.0016666666666666668,10204.804357655219,9588118.507772593,,,,
2023-04-03,performance,,0.25,0.0,,6112677.810235476,9588118.507772593,0.0,9588118.507772593
2023-05-01,management,5704416.329470875,0.0016666666666666668,9507.360549118126,9588118.507772593,,,,
2023-06-01,management,5497406.967398409,0.0016666666666666668,9162.344945664016,9588118.507772593,,,,
2023-07-03,management,5977915.232504511,0.0016666666666666668,9963.192054174186,9588118.507772593,,,,
2023-07-03,performance,,0.25,0.0,,5967952.040450337,9588118.507772593,0.0,9588118.507772593
2023-08-01,management,6839903.536962405,0.0016666666666666668,11399.839228270675,9588118.507772593,,,,
2023-09-01,management,6635285.041612353,0.0016666666666666668,11058.808402687257,9588118.507772593,,,,
2023-10-02,management,6413135.186871067,0.0016666666666666668,10688.558644785111,9588118.507772593,,,,
2023-10-02,performance,,0.25,0.0,,6402446.628226282,9588118.507772593,0.0,9588118.507772593
2023-11-01,management,5769142.949504702,0.0016666666666666668,9615.238249174505,9588118.507772593,,,,
2023-12-01,management,6664677.12959696,0.0016666666666666668,11107.795215994935,9588118.507772593,,,,
2024-01-02,management,7204666.7526743235,0.0016666666666666668,12007.777921123874,9588118.507772593,,,,
2024-01-02,performance,,0.25,0.0,,7192658.9747532,9588118.507772593,0.0,9588118.507772593
2024-02-01,management,7141349.8666326525,0.0016666666666666668,11902.249777721088,9588118.507772593,,,,
2024-03-01,management,7254677.425339541,0.0016666666666666668,12091.12904223257,9588118.507772593,,,,
2024-04-01,management,7933953.973892465,0.0016666666666666668,13223.25662315411,9588118.507772593,,,,
2024-04-01,performance,,0.25,0.0,,7920730.717269311,9588118.507772593,0.0,9588118.507772593
2024-05-01,management,8267100.504622991,0.0016666666666666668,13778.50084103832,9588118.507772593,,,,
2024-06-03,management,8548921.887878448,0.0016666666666666668,14248.20314646408,9588118.507772593,,,,
2024-07-01,management,8095489.965307365,0.0016666666666666668,13492.483275512277,9588118.507772593,,,,
2024-07-01,performance,,0.25,0.0,,8081997.482031852,9588118.507772593,0.0,9588118.507772593
2024-08-01,management,7085069.022602493,0.0016666666666666668,11808.448371004155,9588118.507772593,,,,
2024-09-03,management,6751403.574699322,0.0016666666666666668,11252.339291165537,9588118.507772593,,,,
2024-10-01,management,7069898.722261207,0.0016666666666666668,11783.164537102013,9588118.507772593,,,,
2024-10-01,performance,,0.25,0.0,,7058115.557724105,9588118.507772593,0.0,9588118.507772593
2024-11-01,management,6980974.215917876,0.0016666666666666668,11634.957026529793,9588118.507772593,,,,
2024-12-02,management,7639579.0041056415,0.0016666666666666668,12732.631673509404,9588118.507772593,,,,
2025-01-02,management,7184057.375194171,0.0016666666666666668,11973.428958656954,9588118.507772593,,,,
2025-01-02,performance,,0.25,0.0,,7172083.946235514,9588118.507772593,0.0,9588118.507772593
2025-02-03,management,7346516.190740631,0.0016666666666666668,12244.193651234385,9588118.507772593,,,,
2025-03-03,management,7350105.47949732,0.0016666666666666668,12250.175799162202,9588118.507772593,,,,
2025-04-01,management,7116422.880363699,0.0016666666666666668,11860.704800606165,9588118.507772593,,,,
2025-04-01,performance,,0.25,0.0,,7104562.175563092,9588118.507772593,0.0,9588118.507772593
2025-05-01,management,6809474.411929756,0.0016666666666666668,11349.124019882927,9588118.507772593,,,,
2025-06-02,management,6931717.174191713,0.0016666666666666668,11552.86195698619,9588118.507772593,,,,
2025-07-01,management,7319088.309100774,0.0016666666666666668,12198.480515167957,9588118.507772593,,,,
2025-07-01,performance,,0.25,0.0,,7306889.828585606,9588118.507772593,0.0,9588118.507772593
